X,Y,Z,grade_value,grade,section
979,0,-401,0.8591225147526964,Pb/Zn,Mount Isa
980,0,-412,0.8681482855439653,Pb/Zn,Mount Isa
979,0,-424,0.8569588797550007,Pb/Zn,Mount Isa
978,0,-431,0.8585990605537457,Pb/Zn,Mount Isa
980,0,-417,0.8652163176306935,Pb/Zn,Mount Isa
980,0,-409,0.8616011878877191,Pb/Zn,Mount Isa
991,0,-337,0.869436918060248,Pb/Zn,Mount Isa
995,0,-333,0.859783029110481,Pb/Zn,Mount Isa
999,0,-326,0.8656578845329339,Pb/Zn,Mount Isa
1006,0,-312,0.8663090175270035,Pb/Zn,Mount Isa
1006,0,-296,0.8632909833055866,Pb/Zn,Mount Isa
1013,0,-307,0.8567986101858829,Pb/Zn,Mount Isa
997,0,-318,0.8655456738690358,Pb/Zn,Mount Isa
992,0,-332,0.8513101467649618,Pb/Zn,Mount Isa
988,0,-345,0.8534675469978974,Pb/Zn,Mount Isa
918,0,-571,0.8662001236377235,Pb/Zn,Mount Isa
930,0,-551,0.8532283261780942,Pb/Zn,Mount Isa
924,0,-556,0.8510189335292305,Pb/Zn,Mount Isa
931,0,-543,0.8595754206158218,Pb/Zn,Mount Isa
942,0,-539,0.8554448497227649,Pb/Zn,Mount Isa
937,0,-533,0.8609387267617759,Pb/Zn,Mount Isa
950,0,-527,0.8598843114730753,Pb/Zn,Mount Isa
959,0,-520,0.8506166239915129,Pb/Zn,Mount Isa
959,0,-514,0.8666084738052091,Pb/Zn,Mount Isa
961,0,-500,0.8697620814158221,Pb/Zn,Mount Isa
968,0,-495,0.8601084349728572,Pb/Zn,Mount Isa
980,0,-480,0.8510127675600714,Pb/Zn,Mount Isa
980,0,-473,0.8612895602428557,Pb/Zn,Mount Isa
989,0,-464,0.8555434173493004,Pb/Zn,Mount Isa
995,0,-452,0.8504462513429909,Pb/Zn,Mount Isa
990,0,-451,0.8535590284742024,Pb/Zn,Mount Isa
996,0,-430,0.8652816170793219,Pb/Zn,Mount Isa
993,0,-413,0.8505835970833179,Pb/Zn,Mount Isa
998,0,-403,0.8694462840996157,Pb/Zn,Mount Isa
995,0,-399,0.8602988126700077,Pb/Zn,Mount Isa
1001,0,-389,0.8547988703943511,Pb/Zn,Mount Isa
1001,0,-381,0.8508597551661594,Pb/Zn,Mount Isa
1001,0,-371,0.8688097662622434,Pb/Zn,Mount Isa
1003,0,-372,0.8535287512725211,Pb/Zn,Mount Isa
1006,0,-360,0.8531823095839123,Pb/Zn,Mount Isa
1009,0,-353,0.859171029344128,Pb/Zn,Mount Isa
1013,0,-343,0.8670125445478155,Pb/Zn,Mount Isa
1017,0,-340,0.8519348324536753,Pb/Zn,Mount Isa
1015,0,-339,0.8640020442823849,Pb/Zn,Mount Isa
1016,0,-319,0.8546904403478089,Pb/Zn,Mount Isa
1018,0,-323,0.858119521601984,Pb/Zn,Mount Isa
1018,0,-328,0.8634532663009256,Pb/Zn,Mount Isa
991,0,-451,0.8659499936165765,Pb/Zn,Mount Isa
991,0,-461,0.8504109211602231,Pb/Zn,Mount Isa
986,0,-477,0.8646271392173386,Pb/Zn,Mount Isa
986,0,-477,0.8613464443369772,Pb/Zn,Mount Isa
1004,0,-461,0.8682189584843097,Pb/Zn,Mount Isa
1002,0,-453,0.8584730442691529,Pb/Zn,Mount Isa
1013,0,-437,0.857914507840826,Pb/Zn,Mount Isa
1025,0,-416,0.8567621830804562,Pb/Zn,Mount Isa
1014,0,-426,0.8564397331409085,Pb/Zn,Mount Isa
1014,0,-436,0.8620780992893078,Pb/Zn,Mount Isa
1028,0,-423,0.8559453314244764,Pb/Zn,Mount Isa
1023,0,-438,0.861517642675934,Pb/Zn,Mount Isa
1022,0,-445,0.8575002772058341,Pb/Zn,Mount Isa
1021,0,-426,0.8572776128412262,Pb/Zn,Mount Isa
1034,0,-411,0.8658426604704422,Pb/Zn,Mount Isa
1033,0,-399,0.8588853991849817,Pb/Zn,Mount Isa
1043,0,-380,0.8661160684422802,Pb/Zn,Mount Isa
1034,0,-384,0.8504410816948224,Pb/Zn,Mount Isa
1031,0,-395,0.8526581723645591,Pb/Zn,Mount Isa
1024,0,-383,0.8669995073234248,Pb/Zn,Mount Isa
1023,0,-408,0.8542379973358645,Pb/Zn,Mount Isa
1011,0,-414,0.8631562320160039,Pb/Zn,Mount Isa
986,0,-481,0.8551054218319653,Pb/Zn,Mount Isa
981,0,-497,0.8551445713945982,Pb/Zn,Mount Isa
969,0,-520,0.8603538568498181,Pb/Zn,Mount Isa
980,0,-504,0.8523151600116566,Pb/Zn,Mount Isa
974,0,-514,0.8618105397347469,Pb/Zn,Mount Isa
961,0,-531,0.8635950675621058,Pb/Zn,Mount Isa
969,0,-536,0.8650989169360283,Pb/Zn,Mount Isa
957,0,-546,0.8650720735944487,Pb/Zn,Mount Isa
948,0,-559,0.8599469943390976,Pb/Zn,Mount Isa
939,0,-546,0.8667602204864807,Pb/Zn,Mount Isa
937,0,-561,0.8619698943298079,Pb/Zn,Mount Isa
925,0,-575,0.8655238925859908,Pb/Zn,Mount Isa
906,0,-590,0.8683430112363177,Pb/Zn,Mount Isa
918,0,-591,0.8615299257054733,Pb/Zn,Mount Isa
933,0,-575,0.8555125738921605,Pb/Zn,Mount Isa
927,0,-585,0.8528396080988081,Pb/Zn,Mount Isa
920,0,-601,0.8575226425998577,Pb/Zn,Mount Isa
908,0,-623,0.8588086017844149,Pb/Zn,Mount Isa
893,0,-636,0.8623481274673295,Pb/Zn,Mount Isa
904,0,-626,0.8556649326851922,Pb/Zn,Mount Isa
914,0,-614,0.85947378199624,Pb/Zn,Mount Isa
1002,0,-493,0.8524415543718592,Pb/Zn,Mount Isa
1008,0,-484,0.8684994471958483,Pb/Zn,Mount Isa
1001,0,-493,0.8639808072949758,Pb/Zn,Mount Isa
991,0,-514,0.8548101590508874,Pb/Zn,Mount Isa
984,0,-527,0.858215583675603,Pb/Zn,Mount Isa
971,0,-541,0.8695436000341561,Pb/Zn,Mount Isa
1044,0,-341,0.861478822317519,Pb/Zn,Mount Isa
1044,0,-331,0.8633873037318263,Pb/Zn,Mount Isa
1049,0,-328,0.8675977209677392,Pb/Zn,Mount Isa
1052,0,-321,0.8626568491156685,Pb/Zn,Mount Isa
1044,0,-301,0.8693832173743449,Pb/Zn,Mount Isa
1043,0,-316,0.8656877878935493,Pb/Zn,Mount Isa
1039,0,-321,0.8593333480659614,Pb/Zn,Mount Isa
1044,0,-313,0.8519478018962824,Pb/Zn,Mount Isa
1036,0,-446,0.8567096662293294,Pb/Zn,Mount Isa
1023,0,-465,0.8603900386835307,Pb/Zn,Mount Isa
1023,0,-473,0.8559516398765789,Pb/Zn,Mount Isa
1027,0,-465,0.8580292951014162,Pb/Zn,Mount Isa
1031,0,-457,0.8658562814507269,Pb/Zn,Mount Isa
1070,0,-338,0.8634287146856978,Pb/Zn,Mount Isa
1070,0,-348,0.8577957258348653,Pb/Zn,Mount Isa
1066,0,-358,0.8566960153898467,Pb/Zn,Mount Isa
1070,0,-358,0.8671969080628049,Pb/Zn,Mount Isa
1060,0,-375,0.8686464803418682,Pb/Zn,Mount Isa
1061,0,-380,0.8544387216634816,Pb/Zn,Mount Isa
1055,0,-391,0.8566567843542744,Pb/Zn,Mount Isa
1060,0,-398,0.8515385462690213,Pb/Zn,Mount Isa
1060,0,-405,0.8613381111822201,Pb/Zn,Mount Isa
1056,0,-408,0.8604505225102895,Pb/Zn,Mount Isa
1056,0,-423,0.8536450376909062,Pb/Zn,Mount Isa
1055,0,-437,0.8565506531905448,Pb/Zn,Mount Isa
1049,0,-448,0.8506523642210133,Pb/Zn,Mount Isa
1047,0,-457,0.8628684926870176,Pb/Zn,Mount Isa
891,0,-664,0.854381510006513,Pb/Zn,Mount Isa
901,0,-658,0.8578702495837824,Pb/Zn,Mount Isa
903,0,-648,0.8515332950456526,Pb/Zn,Mount Isa
897,0,-656,0.8634216216858779,Pb/Zn,Mount Isa
891,0,-666,0.8528992055808827,Pb/Zn,Mount Isa
919,0,-647,0.8589440851389274,Pb/Zn,Mount Isa
913,0,-657,0.8578600163869166,Pb/Zn,Mount Isa
922,0,-647,0.858469627845426,Pb/Zn,Mount Isa
924,0,-631,0.8656453936724291,Pb/Zn,Mount Isa
915,0,-639,0.8639320326177063,Pb/Zn,Mount Isa
936,0,-616,0.8590566229836387,Pb/Zn,Mount Isa
948,0,-620,0.8527429910279221,Pb/Zn,Mount Isa
943,0,-625,0.8626036737856493,Pb/Zn,Mount Isa
935,0,-625,0.8650268752104061,Pb/Zn,Mount Isa
944,0,-606,0.8541959169210848,Pb/Zn,Mount Isa
945,0,-601,0.8643112163794078,Pb/Zn,Mount Isa
952,0,-588,0.8673073034069455,Pb/Zn,Mount Isa
957,0,-583,0.862442592832588,Pb/Zn,Mount Isa
961,0,-579,0.8647639512888236,Pb/Zn,Mount Isa
963,0,-568,0.8644409759861391,Pb/Zn,Mount Isa
1108,0,-323,0.8634115940628955,Pb/Zn,Mount Isa
1097,0,-339,0.864570069189732,Pb/Zn,Mount Isa
1103,0,-326,0.8688793251581158,Pb/Zn,Mount Isa
1100,0,-336,0.8523388505447529,Pb/Zn,Mount Isa
1095,0,-347,0.8531684643807572,Pb/Zn,Mount Isa
1143,0,-265,0.8689697332556983,Pb/Zn,Mount Isa
1138,0,-267,0.8682114594010528,Pb/Zn,Mount Isa
1142,0,-275,0.8679320699285362,Pb/Zn,Mount Isa
1133,0,-285,0.8631324910743134,Pb/Zn,Mount Isa
1127,0,-291,0.8599270892391552,Pb/Zn,Mount Isa
1131,0,-285,0.8516462935837341,Pb/Zn,Mount Isa
1122,0,-295,0.8540871295859286,Pb/Zn,Mount Isa
1114,0,-304,0.85808934618592,Pb/Zn,Mount Isa
1145,0,-297,0.8617362109711769,Pb/Zn,Mount Isa
1136,0,-306,0.8610800742420367,Pb/Zn,Mount Isa
1132,0,-307,0.8553218004032644,Pb/Zn,Mount Isa
1123,0,-328,0.8611365679232503,Pb/Zn,Mount Isa
1117,0,-330,0.8579473341102363,Pb/Zn,Mount Isa
1150,0,-300,0.8687086721960582,Pb/Zn,Mount Isa
1146,0,-305,0.8592403589794921,Pb/Zn,Mount Isa
1140,0,-341,0.8529402225650078,Pb/Zn,Mount Isa
1137,0,-354,0.8557035437285112,Pb/Zn,Mount Isa
1128,0,-374,0.8547138563410331,Pb/Zn,Mount Isa
1115,0,-378,0.859328261351141,Pb/Zn,Mount Isa
1114,0,-389,0.8526254702338036,Pb/Zn,Mount Isa
1108,0,-395,0.8529586847444782,Pb/Zn,Mount Isa
1111,0,-374,0.8509049087285336,Pb/Zn,Mount Isa
1120,0,-368,0.8514124261649588,Pb/Zn,Mount Isa
1129,0,-355,0.853990068960774,Pb/Zn,Mount Isa
1143,0,-335,0.8548380661755615,Pb/Zn,Mount Isa
1087,0,-426,0.8609042510060607,Pb/Zn,Mount Isa
1078,0,-443,0.8566520214254916,Pb/Zn,Mount Isa
1076,0,-458,0.8698042473719236,Pb/Zn,Mount Isa
1070,0,-466,0.8577343965270511,Pb/Zn,Mount Isa
1063,0,-482,0.857070222687546,Pb/Zn,Mount Isa
1056,0,-490,0.865054064322134,Pb/Zn,Mount Isa
1054,0,-507,0.8662199885881018,Pb/Zn,Mount Isa
1065,0,-490,0.8583600044272814,Pb/Zn,Mount Isa
1065,0,-470,0.8698793174630491,Pb/Zn,Mount Isa
1077,0,-450,0.8533474583792263,Pb/Zn,Mount Isa
1095,0,-445,0.8634480611808638,Pb/Zn,Mount Isa
1090,0,-453,0.86140168870228,Pb/Zn,Mount Isa
1087,0,-460,0.8614104981588756,Pb/Zn,Mount Isa
1085,0,-462,0.8582098160042598,Pb/Zn,Mount Isa
1087,0,-468,0.8603165498624654,Pb/Zn,Mount Isa
1081,0,-475,0.8655859897313958,Pb/Zn,Mount Isa
1087,0,-478,0.8635390744707855,Pb/Zn,Mount Isa
1086,0,-481,0.8636472197140758,Pb/Zn,Mount Isa
1081,0,-488,0.8682035339600281,Pb/Zn,Mount Isa
1076,0,-494,0.8505289650034595,Pb/Zn,Mount Isa
883,0,-735,0.8525255385593348,Pb/Zn,Mount Isa
887,0,-719,0.8553244585132083,Pb/Zn,Mount Isa
892,0,-704,0.8563890816764865,Pb/Zn,Mount Isa
891,0,-724,0.8622930309778603,Pb/Zn,Mount Isa
888,0,-733,0.8655234691051902,Pb/Zn,Mount Isa
907,0,-716,0.8585244489056311,Pb/Zn,Mount Isa
923,0,-700,0.8510610142395587,Pb/Zn,Mount Isa
