X,Y,Z,grade,borehole
1161.85,2225.0,-772.2,0.1093855397866323,45
1161.85,2225.0,-756.6,0.108376788042633,45
1161.85,2225.0,-741.0,0.1074481855818948,45
1161.85,2225.0,-725.4000000000001,0.1066103746548169,45
1161.85,2225.0,-709.8000000000001,0.1058719795686209,45
1161.85,2225.0,-694.2,0.1052394036158312,45
1161.85,2225.0,-678.6,0.1047167802611944,45
1161.85,2225.0,-663.0,0.1043060643413149,45
1161.85,2225.0,-647.4000000000001,0.1040072338720927,45
1161.85,2225.0,-631.8000000000001,0.1038185646744112,45
1161.85,2225.0,-616.2,0.1037369387487137,45
1161.85,2225.0,-600.6,0.1037581520006306,45
1161.85,2225.0,-585.0,0.1038771954836626,45
1161.85,2225.0,-569.4000000000001,0.1040884944486256,45
1161.85,2225.0,-553.8,0.1043860991039586,45
1161.85,2225.0,-538.2,0.1047638286519164,45
1161.85,2225.0,-522.6,0.1052153752052867,45
1161.85,2225.0,-507.0,0.1057343766540293,45
1161.85,2225.0,-491.4,0.1063144679708561,45
1161.85,2225.0,-475.8,0.106949319528501,45
1161.85,2225.0,-460.2000000000001,0.1076326693801977,45
1161.85,2225.0,-444.6,0.1083583545542319,45
1161.85,2225.0,-429.0,0.1091203444673227,45
1161.85,2225.0,-413.4,0.1099127777049115,45
1161.85,2225.0,-397.8,0.1107300017726795,45
1161.85,2225.0,-382.2,0.111566614134014,45
1161.85,2225.0,-366.6,0.112417502041501,45
1161.85,2225.0,-351.0,0.1132778784114715,45
1161.85,2225.0,-335.4,0.1141433112465417,45
1161.85,2225.0,-319.8,0.1150097447573731,45
1161.85,2225.0,-304.2,0.1158735111931793,45
1161.85,2225.0,-288.6,0.1167313332781093,45
1161.85,2225.0,-273.0,0.1175803179214062,45
1161.85,2225.0,-257.4,0.1184179424346749,45
1161.85,2225.0,-241.79999999999995,0.1192420348198371,45
1161.85,2225.0,-226.20000000000005,0.1200507498025829,45
1161.85,2225.0,-210.6,0.1208425422225366,45
1161.85,2225.0,-195.0,0.1216161392079814,45
1161.85,2225.0,-179.39999999999998,0.1223705123130779,45
1161.85,2225.0,-163.79999999999995,0.1231048505231497,45
1161.85,2225.0,-148.20000000000005,0.1238185347707565,45
1161.85,2225.0,-132.60000000000002,0.1245111143720472,45
