X,Y,Z,grade,formation,borehole
1556.25,390.0,-505.0,5.060204711399433,4,8
1556.25,390.0,-483.0,5.059898344388795,4,8
1556.25,390.0,-461.0,5.059570343244248,4,8
1556.25,390.0,-439.0,5.0592257029180265,4,8
1556.25,390.0,-417.0,5.058870092327264,4,8
1556.25,390.0,-395.0,5.058509685681154,4,8
1556.25,390.0,-373.0,5.058150953837175,4,8
1556.25,390.0,-351.0,5.057800426397406,4,8
1556.25,390.0,-329.0,5.057464441522925,4,8
1556.25,390.0,-307.0,5.0571489039059525,4,8
1556.25,390.0,-285.0,5.056859070241808,4,8
1556.25,390.0,-263.0,5.056599376093019,4,8
