X,Y,Z,grade,formation,borehole
1307.25,930.0,-615.0,5.059181447820573,4,52
1307.25,930.0,-593.0,5.059178823823824,4,52
1307.25,930.0,-571.0,5.059175336781093,4,52
1307.25,930.0,-549.0,5.059170991018733,4,52
1307.25,930.0,-527.0,5.059165799585024,4,52
1307.25,930.0,-505.0,5.0591597843645,4,52
1307.25,930.0,-483.0,5.059152976042103,4,52
1307.25,930.0,-461.0,5.059145413911644,4,52
1307.25,930.0,-439.0,5.059137145526838,4,52
1307.25,930.0,-417.0,5.059128226197185,4,52
1307.25,930.0,-395.0,5.059118718334973,4,52
