X,Y,Z,grade,formation,borehole
1971.25,70.0,-989.0,5.061475051330776,4,18
1971.25,70.0,-967.0,5.061704290730793,4,18
1971.25,70.0,-945.0,5.061949164826262,4,18
1971.25,70.0,-923.0,5.062209488687058,4,18
1971.25,70.0,-901.0,5.062484635539845,4,18
1971.25,70.0,-879.0,5.062773367458225,4,18
1971.25,70.0,-857.0,5.063073600216799,4,18
1971.25,70.0,-835.0,5.063382075295099,4,18
1971.25,70.0,-813.0,5.063693905174413,4,18
1971.25,70.0,-791.0,5.06400195734219,4,18
1971.25,70.0,-769.0,5.064296061126383,4,18
1971.25,70.0,-747.0,5.064562085917653,4,18
