X,Y,Z,grade,formation,borehole
1348.75,810.0,-571.0,5.059334679779062,4,60
1348.75,810.0,-549.0,5.059325132185631,4,60
1348.75,810.0,-527.0,5.059313893918591,4,60
1348.75,810.0,-505.0,5.059301022141083,4,60
1348.75,810.0,-483.0,5.059286594350721,4,60
1348.75,810.0,-461.0,5.0592707077189765,4,60
1348.75,810.0,-439.0,5.059253478014731,4,60
1348.75,810.0,-417.0,5.059235038125702,4,60
1348.75,810.0,-395.0,5.059215536203296,4,60
1348.75,810.0,-373.0,5.05919513346814,4,60
1348.75,810.0,-351.0,5.0591740017239735,4,60
