X,Y,Z,grade,formation,borehole
20.75,90.0,-615.0,5.05033889516086,4,50
20.75,90.0,-593.0,5.049491261478693,4,50
20.75,90.0,-571.0,5.048602087655584,4,50
20.75,90.0,-549.0,5.047684659300127,4,50
20.75,90.0,-527.0,5.046758839377788,4,50
20.75,90.0,-505.0,5.0458526134438095,4,50
20.75,90.0,-483.0,5.045003341536806,4,50
20.75,90.0,-461.0,5.044258075011526,4,50
20.75,90.0,-439.0,5.0436719477621095,4,50
20.75,90.0,-417.0,5.0433034484005645,4,50
20.75,90.0,-395.0,5.043205750197706,4,50
20.75,90.0,-373.0,5.043414747635088,4,50
20.75,90.0,-351.0,5.043937038541617,4,50
20.75,90.0,-329.0,5.044743372723587,4,50
