X,Y,Z,grade,formation,borehole
1929.75,570.0,-989.0,5.059487591908457,4,14
1929.75,570.0,-967.0,5.059503670924047,4,14
1929.75,570.0,-945.0,5.059517106209973,4,14
1929.75,570.0,-923.0,5.059527359689431,4,14
1929.75,570.0,-901.0,5.059533864883866,4,14
1929.75,570.0,-879.0,5.059536035717536,4,14
1929.75,570.0,-857.0,5.059533277679839,4,14
1929.75,570.0,-835.0,5.059525001371379,4,14
1929.75,570.0,-813.0,5.05951063833458,4,14
1929.75,570.0,-791.0,5.059489658921149,4,14
1929.75,570.0,-769.0,5.059461591782633,4,14
1929.75,570.0,-747.0,5.059426044397719,4,14
1929.75,570.0,-725.0,5.059382723883003,4,14
1929.75,570.0,-703.0,5.0593314571882,4,14
