X,Y,Z,grade,formation,borehole
1888.25,90.0,-857.0,5.063821768550574,4,15
1888.25,90.0,-835.0,5.064205061976969,4,15
1888.25,90.0,-813.0,5.06459665737344,4,15
1888.25,90.0,-791.0,5.064989373304365,4,15
1888.25,90.0,-769.0,5.065372655249792,4,15
1888.25,90.0,-747.0,5.065730862021151,4,15
1888.25,90.0,-725.0,5.066040547857972,4,15
1888.25,90.0,-703.0,5.066266533466782,4,15
1888.25,90.0,-681.0,5.066357602562436,4,15
1888.25,90.0,-659.0,5.066245975270861,4,15
1888.25,90.0,-637.0,5.065861087150191,4,15
1888.25,90.0,-615.0,5.065170330020308,4,15
