X,Y,Z,grade,formation,borehole
1514.75,770.0,-659.0,5.059311951128889,4,10
1514.75,770.0,-637.0,5.05929724396039,4,10
1514.75,770.0,-615.0,5.059280091489895,4,10
1514.75,770.0,-593.0,5.059260556924107,4,10
1514.75,770.0,-571.0,5.059238739046205,4,10
1514.75,770.0,-549.0,5.059214772099802,4,10
1514.75,770.0,-527.0,5.059188824808108,4,10
1514.75,770.0,-505.0,5.059161098512909,4,10
1514.75,770.0,-483.0,5.059131824449261,4,10
1514.75,770.0,-461.0,5.059101260204771,4,10
1514.75,770.0,-439.0,5.059069685443424,4,10
1514.75,770.0,-417.0,5.0590373970042535,4,10
