X,Y,Z,grade,formation,borehole
1556.25,570.0,-593.0,5.05972592434633,4,24
1556.25,570.0,-571.0,5.059650877141045,4,24
1556.25,570.0,-549.0,5.059567291574517,4,24
1556.25,570.0,-527.0,5.059475861796599,4,24
1556.25,570.0,-505.0,5.059377464088332,4,24
1556.25,570.0,-483.0,5.05927314357766,4,24
1556.25,570.0,-461.0,5.05916409462169,4,24
1556.25,570.0,-439.0,5.059051635327975,4,24
1556.25,570.0,-417.0,5.058937177010034,4,24
1556.25,570.0,-395.0,5.058822189668458,4,24
1556.25,570.0,-373.0,5.058708164834062,4,24
1556.25,570.0,-351.0,5.058596577279841,4,24
1556.25,570.0,-329.0,5.0584888471862826,4,24
