X,Y,Z,grade,formation,borehole
1805.25,930.0,-989.0,5.059062045259478,4,68
1805.25,930.0,-967.0,5.059063192039805,4,68
1805.25,930.0,-945.0,5.059063780454921,4,68
1805.25,930.0,-923.0,5.059063756018239,4,68
1805.25,930.0,-901.0,5.059063066027501,4,68
1805.25,930.0,-879.0,5.059061660559768,4,68
1805.25,930.0,-857.0,5.059059493523051,4,68
1805.25,930.0,-835.0,5.059056523744903,4,68
1805.25,930.0,-813.0,5.059052716074707,4,68
1805.25,930.0,-791.0,5.059048042473068,4,68
1805.25,930.0,-769.0,5.059042483058795,4,68
1805.25,930.0,-747.0,5.059036027082254,4,68
1805.25,930.0,-725.0,5.059028673792611,4,68
