X,Y,Z,grade,formation
286.0,899.0,-156.7,2.062291697689545,4
286.0,961.0,-156.7,2.0625008625300643,4
286.0,1023.0,-167.3,2.0627400935190985,4
286.0,1023.0,-156.7,2.0627425022627377,4
286.0,1085.0,-167.3,2.0630241176133834,4
286.0,1085.0,-156.7,2.063028710030271,4
286.0,1085.0,-146.10000000000002,2.0630315743822023,4
286.0,1147.0,-177.89999999999998,2.063356520051112,4
286.0,1147.0,-167.3,2.063367957906847,4
286.0,1147.0,-156.7,2.0633769531006427,4
286.0,1147.0,-146.10000000000002,2.0633833630103755,4
286.0,1209.0,-177.89999999999998,2.0637781400583064,4
286.0,1209.0,-167.3,2.063800472253677,4
286.0,1209.0,-156.7,2.063819242686541,4
286.0,1271.0,-177.89999999999998,2.0643299127775694,4
286.0,1271.0,-167.3,2.0643764647782263,4
286.0,1271.0,-156.7,2.06441808444102,4
286.0,1333.0,-177.89999999999998,2.0650794214335373,4
286.0,1705.0,-167.3,2.0646654264763153,4
286.0,1705.0,-156.7,2.064722841446657,4
286.0,1767.0,-167.3,2.0640174341739232,4
286.0,1767.0,-156.7,2.064043185152691,4
286.0,1767.0,-146.10000000000002,2.0640643610698213,4
286.0,1829.0,-156.7,2.063557688397716,4
286.0,1829.0,-146.10000000000002,2.0635669873542906,4
286.0,1829.0,-135.5,2.06357305291342,4
286.0,1829.0,-124.89999999999998,2.063575732640158,4
286.0,1891.0,-146.10000000000002,2.0631936939866016,4
286.0,1891.0,-135.5,2.063196103467684,4
286.0,1891.0,-124.89999999999998,2.063196322707694,4
286.0,1953.0,-135.5,2.062901079237215,4
286.0,1953.0,-124.89999999999998,2.062900766486731,4
286.0,1953.0,-114.30000000000001,2.0628989689488644,4
286.0,2015.0,-114.30000000000001,2.0626637415739197,4
286.0,2015.0,-103.69999999999999,2.062661500759611,4
286.0,2077.0,-103.69999999999999,2.062474459296628,4
286.0,2139.0,-93.10000000000002,2.062325272795447,4
330.0,713.0,-167.3,2.0617614402519036,4
330.0,775.0,-167.3,2.0619529943250225,4
330.0,837.0,-177.89999999999998,2.0621445536697443,4
330.0,837.0,-167.3,2.062144360166824,4
330.0,837.0,-156.7,2.0621438431997468,4
330.0,899.0,-177.89999999999998,2.0623472083875245,4
330.0,899.0,-167.3,2.0623479826622098,4
330.0,899.0,-156.7,2.0623482047853794,4
330.0,899.0,-146.10000000000002,2.062347868263179,4
330.0,961.0,-177.89999999999998,2.0625728950157987,4
330.0,961.0,-167.3,2.0625747341535394,4
330.0,961.0,-156.7,2.062575722525602,4
330.0,961.0,-146.10000000000002,2.062575845635295,4
330.0,1023.0,-188.5,2.062825931627893,4
330.0,1023.0,-177.89999999999998,2.0628303945237625,4
330.0,1023.0,-167.3,2.0628336322553884,4
330.0,1023.0,-156.7,2.0628356087335975,4
330.0,1023.0,-146.10000000000002,2.062836294157396,4
330.0,1023.0,-135.5,2.062835665611453,4
330.0,1085.0,-188.5,2.063119117135282,4
330.0,1085.0,-177.89999999999998,2.0631262918455153,4
330.0,1085.0,-167.3,2.063131694961365,4
330.0,1085.0,-156.7,2.0631352533874674,4
330.0,1085.0,-146.10000000000002,2.0631369043932546,4
330.0,1085.0,-135.5,2.0631365971010385,4
330.0,1147.0,-199.10000000000002,2.0634397898299457,4
330.0,1147.0,-188.5,2.063454024247257,4
330.0,1147.0,-177.89999999999998,2.0634658920565285,4
330.0,1147.0,-167.3,2.0634752238833474,4
330.0,1147.0,-156.7,2.0634818627735507,4
330.0,1147.0,-146.10000000000002,2.0634856681921683,4
330.0,1147.0,-135.5,2.063486519977087,4
330.0,1209.0,-199.10000000000002,2.063812877587748,4
330.0,1209.0,-188.5,2.063837277467548,4
330.0,1209.0,-177.89999999999998,2.0638584859971996,4
330.0,1209.0,-167.3,2.063876131401542,4
330.0,1209.0,-156.7,2.063889852731411,4
330.0,1209.0,-146.10000000000002,2.0638993103543557,4
330.0,1209.0,-135.5,2.063904196994105,4
330.0,1209.0,-124.89999999999998,2.063904248855952,4
330.0,1271.0,-199.10000000000002,2.064244384706852,4
330.0,1271.0,-188.5,2.0642904083585303,4
330.0,1271.0,-177.89999999999998,2.0643326457318154,4
330.0,1271.0,-167.3,2.0643702542386526,4
330.0,1271.0,-156.7,2.064402363678384,4
330.0,1271.0,-146.10000000000002,2.06442810187655,4
330.0,1271.0,-135.5,2.0644466246553144,4
330.0,1271.0,-124.89999999999998,2.0644571491190242,4
330.0,1333.0,-199.10000000000002,2.064773300759402,4
330.0,1333.0,-188.5,2.0648677312038575,4
330.0,1333.0,-177.89999999999998,2.064959951720885,4
330.0,1333.0,-167.3,2.0650481957304065,4
330.0,1333.0,-156.7,2.0651304644629156,4
330.0,1333.0,-146.10000000000002,2.0652045632772453,4
330.0,1333.0,-135.5,2.0652681580434886,4
330.0,1333.0,-124.89999999999998,2.065318853690215,4
330.0,1395.0,-188.5,2.0656229675462976,4
330.0,1395.0,-177.89999999999998,2.0658226685359593,4
330.0,1395.0,-167.3,2.0660276430382134,4
330.0,1395.0,-156.7,2.0662346544645858,4
330.0,1395.0,-146.10000000000002,2.0664395398776074,4
330.0,1395.0,-135.5,2.0666371282492535,4
330.0,1395.0,-124.89999999999998,2.066821212654656,4
330.0,1457.0,-177.89999999999998,2.0667269798682115,4
330.0,1457.0,-167.3,2.0671064679261697,4
330.0,1457.0,-156.7,2.067514690175049,4
330.0,1457.0,-146.10000000000002,2.067948944420754,4
330.0,1457.0,-135.5,2.068404254616219,4
330.0,1457.0,-124.89999999999998,2.0688725822589746,4
330.0,1457.0,-114.30000000000001,2.0693420005202596,4
330.0,1519.0,-167.3,2.067359373115758,4
330.0,1519.0,-156.7,2.067823700334816,4
330.0,1519.0,-146.10000000000002,2.0683250640219217,4
330.0,1519.0,-135.5,2.0688599179114937,4
330.0,1519.0,-124.89999999999998,2.0694213408870965,4
330.0,1519.0,-114.30000000000001,2.069997859726019,4
330.0,1519.0,-103.69999999999999,2.0705723093266544,4
330.0,1581.0,-177.89999999999998,2.0662017337637284,4
330.0,1581.0,-167.3,2.0664732931594023,4
330.0,1581.0,-156.7,2.0667552716786433,4
330.0,1581.0,-146.10000000000002,2.067043351769019,4
330.0,1581.0,-135.5,2.0673316258434733,4
330.0,1581.0,-124.89999999999998,2.0676123462602556,4
330.0,1581.0,-114.30000000000001,2.067875772485373,4
330.0,1643.0,-188.5,2.065144730878637,4
330.0,1643.0,-177.89999999999998,2.065270522472956,4
330.0,1643.0,-167.3,2.065394266485866,4
330.0,1643.0,-156.7,2.0655133765881035,4
330.0,1643.0,-146.10000000000002,2.0656248698935187,4
330.0,1643.0,-135.5,2.0657254121451367,4
330.0,1643.0,-124.89999999999998,2.0658114006849067,4
330.0,1705.0,-188.5,2.064503629535822,4
330.0,1705.0,-177.89999999999998,2.064560631595086,4
330.0,1705.0,-167.3,2.0646128276025766,4
330.0,1705.0,-156.7,2.064658998188584,4
330.0,1705.0,-146.10000000000002,2.06469788309697,4
330.0,1705.0,-135.5,2.0647282228402033,4
330.0,1705.0,-124.89999999999998,2.0647488078276135,4
330.0,1705.0,-114.30000000000001,2.064758533247587,4
330.0,1767.0,-188.5,2.0640157797004854,4
330.0,1767.0,-177.89999999999998,2.06404352178943,4
330.0,1767.0,-167.3,2.0640672372296858,4
330.0,1767.0,-156.7,2.064086419733841,4
330.0,1767.0,-146.10000000000002,2.0641005822022267,4
330.0,1767.0,-135.5,2.0641092731648816,4
330.0,1767.0,-124.89999999999998,2.0641120938738484,4
