X,Y,Z,grade_value
703.696,2500,-753.88,0.20555725492289
812.464,2500,-757.64,0.202672601989881
936.064,2500,-766.1,0.203329838155114
1054.72,2500,-761.4,0.205464884190997
1067.904,2500,-739.78,0.200240920493806
863.552,2500,-720.04,0.204545124282657
743.248,2500,-706.88,0.207512869018072
622.944,2500,-690.9,0.202179278810691
525.712,2500,-679.62,0.207363656089686
627.888,2500,-730.38,0.202172153619712
726.768,2500,-754.82,0.209023439766331
608.112,2500,-704.06,0.202315803040703
718.528,2500,-708.76,0.203098249684275
941.008,2500,-752.94,0.206706433457282
1039.888,2500,-753.88,0.205237308042539
852.016,2500,-746.36,0.204280219717693
677.328,2500,-714.4,0.201635886315311
921.232,2500,-741.66,0.208606715594386
403.76,2500,-532.98,0.203066839567049
517.472,2500,-529.22,0.200562661457258
669.088,2500,-537.68,0.207175808128231
792.688,2500,-571.52,0.201666168570845
824,2500,-535.8,0.207920145052019
738.304,2500,-487.86,0.204238701357296
657.552,2500,-432.4,0.205886595901947
530.656,2500,-391.98,0.207672241859309
382.336,2500,-391.04,0.209669310929228
286.752,2500,-401.38,0.209155096243638
314.768,2500,-435.22,0.206717630201869
375.744,2500,-454.02,0.209574471168505
332.896,2500,-460.6,0.202734782561903
271.92,2500,-438.98,0.207779948738415
243.904,2500,-454.96,0.206885766761494
314.768,2500,-511.36,0.208035139801197
430.128,2500,-532.98,0.206462792030613
321.36,2500,-504.78,0.208041791565181
370.8,2500,-517,0.201661933041953
291.696,2500,-481.28,0.20904931184577
255.44,2500,-446.5,0.208001108667462
524.064,2500,-508.54,0.203237353873912
428.48,2500,-474.7,0.201656987520805
608.112,2500,-517,0.206424073474194
743.248,2500,-546.14,0.208876851818983
795.984,2500,-546.14,0.202886209794841
809.168,2500,-538.62,0.205784150326267
706.992,2500,-477.52,0.204684451928765
616.352,2500,-452.14,0.202278689934458
652.608,2500,-436.16,0.201187551340235
520.768,2500,-413.6,0.205585960482937
540.544,2500,-406.08,0.20980313467168
433.424,2500,-412.66,0.200924718097326
355.968,2500,-400.44,0.201801591710846
290.048,2500,-399.5,0.205432761754833
258.736,2500,-442.74,0.20622254386011
550.432,2500,-704.06,0.0509275594709336
586.688,2500,-728.5,0.0503857969955548
652.608,2500,-755.76,0.0508842545510201
787.744,2500,-775.5,0.0501447842801272
886.624,2500,-779.26,0.0502739138060996
1000.336,2500,-774.56,0.0506793560235881
1118.992,2500,-763.28,0.050309510311
1222.816,2500,-741.66,0.0509827822249124
1084.384,2500,-735.08,0.0500015815969343
810.816,2500,-708.76,0.0501712564265135
664.144,2500,-689.02,0.0505248440377547
502.64,2500,-670.22,0.0501438608731805
375.744,2500,-664.58,0.050248196050538
224.128,2500,-657.06,0.0505558935041471
166.448,2500,-661.76,0.0506122848564921
290.048,2500,-673.04,0.0500945550606549
400.464,2500,-682.44,0.0509635379635509
525.712,2500,-692.78,0.0506683005211208
224.128,2500,-662.7,0.0503637219563025
355.968,2500,-670.22,0.0500762604341596
459.792,2500,-679.62,0.0503927431261376
553.728,2500,-694.66,0.0506000456677681
621.296,2500,-736.96,0.0507125433059287
692.16,2500,-755.76,0.0501249160444958
725.12,2500,-765.16,0.0500095671443786
782.8,2500,-771.74,0.0505161313492035
909.696,2500,-773.62,0.0504893111186212
1005.28,2500,-767.98,0.0500635288126709
1133.824,2500,-752.94,0.050954128035774
1201.392,2500,-745.42,0.0505643245507996
1086.032,2500,-741.66,0.050548068990158
917.936,2500,-721.92,0.050170628772345
782.8,2500,-706.88,0.0509673685472418
723.472,2500,-697.48,0.0501800406751509
634.48,2500,-686.2,0.0506181675499593
527.36,2500,-673.98,0.0508538076594876
224.128,2500,-602.54,0.0505970699299885
331.248,2500,-607.24,0.050233852616648
520.768,2500,-616.64,0.050798778188864
698.752,2500,-641.08,0.050865942904657
886.624,2500,-627.92,0.0503384192190856
1033.296,2500,-603.48,0.0506964906703651
1160.192,2500,-587.5,0.0502095197931171
1204.688,2500,-547.08,0.0505098017089473
1133.824,2500,-470,0.0502516687101158
916.288,2500,-422.06,0.0504349833901437
688.864,2500,-393.86,0.0504247858950871
529.008,2500,-359.08,0.0509188033195292
319.712,2500,-355.32,0.0509318960916821
230.72,2500,-371.3,0.0507640209844778
177.984,2500,-404.2,0.0503786503148894
224.128,2500,-452.14,0.0507222258683294
285.104,2500,-519.82,0.0507499085118372
400.464,2500,-540.5,0.0504551400039544
443.312,2500,-564.94,0.0501137744452106
380.688,2500,-588.44,0.0500181527689015
263.68,2500,-595.96,0.0506070343798704
270.272,2500,-608.18,0.0500258560822712
565.264,2500,-572.46,0.0504099805123717
601.52,2500,-608.18,0.0506439962002755
637.776,2500,-566.82,0.050350448699856
929.472,2500,-592.2,0.0505033798742604
848.72,2500,-579.04,0.0503591516713251
1110.752,2500,-579.04,0.0500115513324703
1156.896,2500,-501.96,0.0509760913306775
835.536,2500,-531.1,0.0507700943615096
997.04,2500,-499.14,0.0500353963112778
866.848,2500,-440.86,0.0508065213728783
692.16,2500,-402.32,0.0506367182059209
553.728,2500,-376.94,0.0509435070030497
433.424,2500,-365.66,0.0509562875582894
202.704,2500,-383.52,0.0507287039024737
210.944,2500,-413.6,0.0507601698939632
299.936,2500,-443.68,0.050364744297274
364.208,2500,-454.02,0.0501520853108331
255.44,2500,-489.74,0.0502341142508976
301.584,2500,-517,0.0505670812236646
580.096,2500,-580.92,0.0503707750454806
659.2,2500,-603.48,0.0500095553949237
1084.384,2500,-519.82,0.0504813397837956
402.112,2500,-512.3,0.503075846745154
449.904,2500,-514.18,0.506419931881678
408.704,2500,-502.9,0.507802600615585
369.152,2500,-485.98,0.505545204328615
