X,Y,Z,grade
20.21,10.0,-265.67,0.42395455229424545
20.21,10.0,-251.32999999999998,0.4233201686701002
20.21,10.0,-236.99,0.422514495246347
20.21,10.0,-222.64999999999998,0.42150066320767615
20.21,10.0,-208.31,0.4203114040329121
20.21,10.0,-193.96999999999997,0.4191069404031067
20.21,10.0,-179.63,0.41813325658743866
20.21,10.0,-165.28999999999996,0.4175842202582791
20.21,10.0,-150.95,0.41772771858169716
20.21,10.0,-136.61,0.4210001084697602
20.21,10.0,-122.26999999999998,0.43073421369594633
20.21,10.0,-107.93,0.43981582589682644
20.21,30.0,-265.67,0.42411822514835884
20.21,30.0,-251.32999999999998,0.4235385000424296
20.21,30.0,-236.99,0.42283605894671367
20.21,30.0,-222.64999999999998,0.42201075465828036
20.21,30.0,-208.31,0.42113411069338125
20.21,30.0,-193.96999999999997,0.4203919654579924
20.21,30.0,-179.63,0.42007331935211073
20.21,30.0,-165.28999999999996,0.42053744329526477
20.21,30.0,-150.95,0.4223100636107758
20.21,30.0,-136.61,0.4261192436853238
20.21,30.0,-122.26999999999998,0.4318057939390307
20.21,30.0,-107.93,0.43743514257237004
20.21,50.0,-265.67,0.42446687245092957
20.21,50.0,-251.32999999999998,0.4239958910397577
20.21,50.0,-236.99,0.4234751694871962
20.21,50.0,-222.64999999999998,0.42294143691090536
20.21,50.0,-208.31,0.42249080143791806
20.21,50.0,-193.96999999999997,0.4222964128327133
20.21,50.0,-179.63,0.42259416822545265
20.21,50.0,-165.28999999999996,0.42364008650196294
20.21,50.0,-150.95,0.42565151640493243
20.21,50.0,-136.61,0.428672670752221
20.21,50.0,-122.26999999999998,0.4323449317927595
20.21,50.0,-107.93,0.43590136584528544
20.21,70.0,-265.67,0.4249980628973465
20.21,70.0,-251.32999999999998,0.4246692998728954
20.21,70.0,-236.99,0.42435661651844
20.21,70.0,-222.64999999999998,0.42411146657383175
20.21,70.0,-208.31,0.4240229252339484
20.21,70.0,-193.96999999999997,0.42421768534975274
20.21,70.0,-179.63,0.4248402363389468
20.21,70.0,-165.28999999999996,0.42601307304090186
20.21,70.0,-150.95,0.42778382013985883
20.21,70.0,-136.61,0.43006755786932616
20.21,70.0,-122.26999999999998,0.4326149262078149
20.21,70.0,-107.93,0.4350663648768679
20.21,90.0,-280.01,0.42588158652304287
20.21,90.0,-265.67,0.4256689647524966
20.21,90.0,-251.32999999999998,0.4254842004752038
20.21,90.0,-236.99,0.425357598062513
